,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
36,TU,10,0.5740181268882175,13.833333333333334,0.6185567010309279,1.2371134020618557,0.8247422680412372,1.4432989690721651,1.2371134020618557,0.8247422680412372,1.0309278350515465,0.8247422680412372,1.6494845360824744,1.4432989690721651,15.670103092783506,0,0,0,0,0,0,0
37,TU,10,0.9667673716012084,7.266666666666667,1.6494845360824744,2.061855670103093,2.8865979381443303,2.4742268041237114,2.061855670103093,2.2680412371134024,1.8556701030927836,3.2989690721649487,1.8556701030927836,3.9175257731958766,0.8247422680412372,0,0,0,0,0,0,0
38,TU,10,1.5407854984894258,19.566666666666666,2.061855670103093,1.6494845360824744,1.8556701030927836,1.0309278350515465,3.0927835051546393,1.8556701030927836,1.0309278350515465,1.0309278350515465,2.680412371134021,1.0309278350515465,18.350515463917528,0,0,0,0,0,0,0
39,TU,10,0.8157099697885196,1.4666666666666666,2.2680412371134024,2.680412371134021,1.4432989690721651,1.6494845360824744,1.6494845360824744,1.2371134020618557,1.0309278350515465,1.4432989690721651,1.6494845360824744,1.0309278350515465,1.6494845360824744,0,0,0,0,0,0,0
40,StAR:bPAC+,0,0.6646525679758308,1.0333333333333334,0.8247422680412372,0.6185567010309279,0.6185567010309279,0.6185567010309279,0.6185567010309279,0.6185567010309279,3.9175257731958766,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
41,StAR:bPAC+,0,0.755287009063444,1.2,0.6185567010309279,0.6185567010309279,0.8247422680412372,0.6185567010309279,0.4123711340206186,0.8247422680412372,3.2989690721649487,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
42,StAR:bPAC+,0,0.6948640483383686,0.8666666666666667,0.6185567010309279,0.2061855670103093,0.6185567010309279,0.0,0.4123711340206186,0.4123711340206186,2.2680412371134024,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
43,StAR:bPAC+,0,0.9365558912386707,1.0333333333333334,0.8247422680412372,0.8247422680412372,6.185567010309279,5.979381443298969,7.422680412371134,1.4432989690721651,6.5979381443298974,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
44,StAR:bPAC+,0,0.5740181268882175,1.0333333333333334,0.8247422680412372,0.6185567010309279,0.2061855670103093,0.4123711340206186,0.6185567010309279,0.6185567010309279,2.8865979381443303,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
45,StAR:bPAC+,10,1.1782477341389728,8.666666666666666,1.8556701030927836,1.4432989690721651,1.0309278350515465,1.0309278350515465,0.8247422680412372,1.4432989690721651,1.0309278350515465,0.6185567010309279,1.4432989690721651,2.2680412371134024,0.8247422680412372,0,0,0,0,0,0,0
46,StAR:bPAC+,10,1.148036253776435,16.266666666666666,1.6494845360824744,2.061855670103093,1.8556701030927836,1.2371134020618557,1.2371134020618557,1.2371134020618557,1.4432989690721651,3.2989690721649487,1.6494845360824744,2.061855670103093,15.876288659793815,0,0,0,0,0,0,0
47,StAR:bPAC+,10,0.39274924471299094,1.0,1.4432989690721651,1.8556701030927836,1.2371134020618557,0.4123711340206186,0.6185567010309279,1.4432989690721651,2.061855670103093,0.6185567010309279,0.8247422680412372,1.2371134020618557,0.4123711340206186,0,0,0,0,0,0,0
48,StAR:bPAC+,10,0.8459214501510574,5.966666666666667,1.2371134020618557,1.4432989690721651,2.2680412371134024,1.4432989690721651,2.680412371134021,1.2371134020618557,0.8247422680412372,0.6185567010309279,1.4432989690721651,2.061855670103093,5.773195876288661,0,0,0,0,0,0,0
49,StAR:bPAC+,10,0.6042296072507553,11.4,2.061855670103093,1.2371134020618557,2.2680412371134024,0.6185567010309279,2.061855670103093,1.2371134020618557,2.061855670103093,1.6494845360824744,1.0309278350515465,1.0309278350515465,12.164948453608249,0,0,0,0,0,0,0
50,StAR:bPAC-,0,1.1782477341389728,12.8,3.9175257731958766,5.773195876288661,5.979381443298969,3.9175257731958766,0.0,6.5979381443298974,41.23711340206186,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
51,StAR:bPAC-,0,0.5438066465256798,1.1,0.8247422680412372,0.6185567010309279,0.2061855670103093,0.4123711340206186,0.4123711340206186,0.6185567010309279,2.8865979381443303,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
52,StAR:bPAC-,0,0.5740181268882175,0.9666666666666667,0.6185567010309279,1.0309278350515465,0.6185567010309279,0.2061855670103093,0.6185567010309279,0.4123711340206186,5.567010309278351,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
53,StAR:bPAC-,0,0.8459214501510574,1.5666666666666667,1.2371134020618557,1.2371134020618557,0.6185567010309279,1.0309278350515465,0.8247422680412372,1.0309278350515465,5.154639175257732,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
54,StAR:bPAC-,0,0.7250755287009063,1.9,1.6494845360824744,0.4123711340206186,0.2061855670103093,1.0309278350515465,1.0309278350515465,1.0309278350515465,8.8659793814433,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
55,StAR:bPAC-,10,0.8459214501510574,1.0,1.6494845360824744,1.2371134020618557,2.8865979381443303,1.8556701030927836,1.6494845360824744,2.061855670103093,1.2371134020618557,1.6494845360824744,1.8556701030927836,2.4742268041237114,0.8247422680412372,0,0,0,0,0,0,0
