,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
54,StAR:bPAC-,0,3.8378830300342908,7.036940757445761,3.419879589040396,3.319077410532765,2.757635747676268,3.2244833075784762,6.8769508559357195,4.049297812393178,0.4423849594511703,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.276352621978158
55,StAR:bPAC-,10,4.367328118600543,4.346714222911757,5.032247311058456,7.858591286362706,4.8120365597337065,4.738014306565535,7.460937511643211,6.013588139563096,5.151615948854133,6.768007746040851,2.9272308601696393,5.17150187099246,3.0240409571211258,0,0,0,0,0,0,0,4.676780010896601
56,StAR:bPAC-,10,4.543881938967957,0.6932157217595064,5.2409706704519845,3.8182477694071806,4.836594442890633,5.503571378983054,3.9679138763210653,4.465295259780292,4.7320123774228176,3.0099868057112094,3.6744945801866735,3.7933711852286285,0.02794651469157549,0,0,0,0,0,0,0,2.3333362089188303
57,StAR:bPAC-,10,5.708675282247439,3.565320893494945,7.867331362511552,9.043649349249453,6.88733197714401,7.865407034044577,5.910987132690226,3.984018025708185,5.626008546159173,7.558595636044087,4.978352731578692,4.427723927600313,0.023567019073190535,0,0,0,0,0,0,0,3.0652941723773366
58,StAR:bPAC-,10,3.9101243770945655,4.685854225074661,9.630038570103267,10.374260164484337,5.746463500980166,3.999576575281608,8.2484904779775,6.458399054515282,10.008221610068587,10.194375602767892,4.210202875280845,5.059290591437197,0.018773226194489637,0,0,0,0,0,0,0,3.653587054127182
59,TU,10,3.6475517902663928,0.7553576069082606,8.302973187819088,7.195372881139654,7.156944764638154,5.080347709769136,5.05065885734098,6.719055283756769,4.470774827708653,4.738432289493497,4.781182663249752,3.9526967230787062,0.03451117194057087,0,0,0,0,0,0,0,2.0165904823026186
60,TU,10,1.301129070469105,2.172766129933437,7.947614020576564,7.236318237178391,4.4183256095286465,4.189912242069104,4.370170069999299,6.334321497479814,7.505557498532238,4.1248155191516025,7.493095417440978,5.682618389199374,0.05989675771584963,0,0,0,0,0,0,0,1.7375528781069498
61,TU,10,4.497131103014829,4.530594435028605,6.311915121018041,7.533646842572954,8.480097014021975,8.675414133369411,8.2859714440976,9.6931741224385,9.329942171210247,8.59771016293294,10.107908915327044,8.818076392712559,2.297396277371216,0,0,0,0,0,0,0,4.47968627292218
62,TU,10,4.1440375903107185,3.490213502228082,5.388010340934253,8.326255097331543,5.1325625869661105,8.133381780917382,7.694578964555847,7.424222142211421,6.236750689340152,5.152966463527705,4.132564102100431,2.827325106119637,0.01603798334023162,0,0,0,0,0,0,0,2.681462531340916
63,TU,10,2.301813105686767,5.94985701959214,9.388331634769777,7.947471119488096,5.448268594016584,6.550873062365206,5.878993249901723,5.053593811468634,8.33148121116199,7.920586294333803,6.670539714533089,5.197267299327735,0.04274614174644014,0,0,0,0,0,0,0,2.8464645670738298
64,StAR:bPAC+,10,2.9362717004957193,3.1867273629001764,6.679843788814291,6.408649291414115,5.751916024758075,5.8647094607470835,5.542848210239802,6.7208942083927345,7.054915456728397,7.669418677320237,4.99007995729158,5.919254356312872,3.0129353840675845,0,0,0,0,0,0,0,3.517648568969608
65,StAR:bPAC+,10,2.807024029576777,1.958523943913608,8.047668494075634,8.539769684845512,8.455994090272823,11.590592201917945,9.074811619144217,9.811275370582804,7.143631714569228,5.96823041578463,7.080196532455689,5.322840648710759,1.0247777374064087,0,0,0,0,0,0,0,3.6631657191817535
66,StAR:bPAC+,10,3.4559834588034466,1.1815857322720444,5.060054793110909,6.197806174828194,7.441114866946498,5.937808100813839,5.945981903909258,6.492663742634061,7.3924248050614,6.880194061442303,5.966340838412917,6.501306949967763,0.07468207624176294,0,0,0,0,0,0,0,2.8992514753110425
67,StAR:bPAC+,10,5.0148499408504685,1.7397252795105518,9.332159690683586,8.977925790809026,12.080666243979948,11.219813391777254,9.1065600194473,7.3743983966871856,6.979622905332349,3.284254496469277,4.502843845502151,7.041825014854557,0.05468468029598463,0,0,0,0,0,0,0,3.403041744591825
68,StAR:bPAC+,10,2.6556521443274463,3.5133774453062467,6.451209137136403,6.812512847737684,8.999719655256683,6.530320754074416,5.150719519647454,5.986005847511253,5.584021217438992,2.6966529001935764,5.498017636121166,5.682196547713463,0.028388866339366863,0,0,0,0,0,0,0,2.5584622103209855
69,StAR:bPAC-,10,8.406718130910575,6.3902360787764705,7.701584592095862,8.728278834574148,3.8934645960097387,5.238976166048514,0.017694811943725436,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.4942800387545911
70,StAR:bPAC-,10,2.8145194096728026,3.0269657828222,7.27116933149959,9.914107193997598,8.959008415068888,7.369556908905036,10.969530570927468,10.184037557648189,6.997363082304628,11.476757679657618,11.121803792807334,11.14722545492759,1.783421196181365,0,0,0,0,0,0,0,5.0110033635498645
71,StAR:bPAC-,10,4.05448065820027,3.994369109121318,4.812661997606468,4.412742020712396,7.386271153709213,6.0471477458952725,11.157327540472947,7.013638479194111,6.753190100275319,4.52108225149191,4.968555511847377,3.4747112205899806,0.03501356499455397,0,0,0,0,0,0,0,2.996657725459361
72,StAR:bPAC-,10,3.853669547455055,3.532824596687216,12.472756687287271,6.547848748909637,7.139007946618032,7.128020936366138,4.397101545289585,1.8565314446442276,0.5324422251438065,0.48084349915177294,0.02746972003520993,0.0,0.0,0,0,0,0,0,0,0,1.6007502781184348
73,StAR:bPAC-,10,3.6512559462572596,1.303735182720638,8.257542933953959,5.159620899193892,8.659361609546552,5.665682716726562,7.196430079841121,6.351462335666245,7.365999898745596,5.695368420464047,6.008423252425575,7.431971786270593,0.046466300197752664,0,0,0,0,0,0,0,2.413316146418322
